Category: All categories,,,
,,,
Month,Pho: (Worldwide),Ramen: (Worldwide),Soba: (Worldwide)
2004-01,4,9,2
2004-02,4,4,2
2004-03,3,5,3
2004-04,3,5,2
2004-05,3,6,2
2004-06,3,6,3
2004-07,4,6,3
2004-08,4,8,3
2004-09,3,7,2
2004-10,4,5,3
2004-11,3,6,2
2004-12,3,6,2
2005-01,4,6,2
2005-02,3,7,2
2005-03,4,5,2
2005-04,3,6,2
2005-05,5,6,2
2005-06,4,6,2
2005-07,4,5,2
2005-08,4,6,2
2005-09,5,6,2
2005-10,5,6,2
2005-11,4,5,3
2005-12,4,4,2
2006-01,4,6,3
2006-02,4,5,3
2006-03,4,5,3
2006-04,4,6,2
2006-05,4,5,3
2006-06,4,6,3
2006-07,5,6,3
2006-08,4,6,2
2006-09,4,6,2
2006-10,5,5,2
2006-11,5,5,3
2006-12,4,5,2
2007-01,5,7,2
2007-02,4,5,2
2007-03,5,6,3
2007-04,5,6,2
2007-05,5,6,3
2007-06,5,6,3
2007-07,5,6,3
2007-08,6,6,3
2007-09,7,6,3
2007-10,7,6,3
2007-11,7,5,3
2007-12,5,6,3
2008-01,6,6,3
2008-02,5,6,3
2008-03,6,6,3
2008-04,5,6,3
2008-05,6,7,3
2008-06,6,6,3
2008-07,6,7,3
2008-08,6,7,2
2008-09,6,6,3
2008-10,7,6,3
2008-11,7,6,3
2008-12,7,6,3
2009-01,6,7,3
2009-02,6,7,3
2009-03,7,7,3
2009-04,7,6,2
2009-05,7,7,3
2009-06,7,7,2
2009-07,8,8,2
2009-08,8,8,3
2009-09,8,8,3
2009-10,7,7,3
2009-11,8,7,3
2009-12,9,7,3
2010-01,9,8,3
2010-02,8,8,3
2010-03,9,7,2
2010-04,9,7,3
2010-05,9,7,3
2010-06,9,7,3
2010-07,9,8,3
2010-08,11,8,3
2010-09,11,8,3
2010-10,13,8,3
2010-11,12,8,3
2010-12,11,8,3
2011-01,12,8,3
2011-02,12,8,3
2011-03,12,7,3
2011-04,13,8,3
2011-05,12,8,3
2011-06,13,9,3
2011-07,13,9,3
2011-08,13,10,3
2011-09,13,9,3
2011-10,14,9,3
2011-11,14,10,3
2011-12,14,9,3
2012-01,13,10,4
2012-02,14,9,3
2012-03,14,9,3
2012-04,14,10,3
2012-05,14,9,3
2012-06,14,10,3
2012-07,14,10,3
2012-08,14,11,3
2012-09,15,11,3
2012-10,15,11,3
2012-11,14,11,3
2012-12,15,10,4
2013-01,17,12,4
2013-02,14,11,3
2013-03,15,11,3
2013-04,15,11,4
2013-05,15,11,4
2013-06,14,11,4
2013-07,15,13,4
2013-08,17,15,5
2013-09,16,14,4
2013-10,17,13,4
2013-11,17,13,4
2013-12,17,12,4
2014-01,17,14,4
2014-02,17,13,4
2014-03,18,14,4
2014-04,19,13,4
2014-05,18,14,4
2014-06,18,13,4
2014-07,19,15,4
2014-08,19,15,4
2014-09,18,15,4
2014-10,19,16,4
2014-11,20,15,4
2014-12,20,15,4
2015-01,19,17,5
2015-02,17,16,4
2015-03,19,16,4
2015-04,18,15,5
2015-05,18,16,5
2015-06,17,16,5
2015-07,19,18,5
2015-08,19,18,5
2015-09,19,18,4
2015-10,19,18,5
2015-11,21,17,5
2015-12,19,19,5
2016-01,20,20,5
2016-02,18,19,4
2016-03,19,19,4
2016-04,19,20,5
2016-05,18,19,5
2016-06,18,20,4
2016-07,19,19,5
2016-08,19,21,4
2016-09,22,22,5
2016-10,22,22,5
2016-11,20,22,5
2016-12,22,69,19
2017-01,22,74,17
2017-02,22,73,15
2017-03,21,72,17
2017-04,20,73,18
2017-05,20,75,20
2017-06,19,73,21
2017-07,20,76,21
2017-08,19,83,22
2017-09,20,81,20
2017-10,20,76,19
2017-11,21,79,19
2017-12,22,78,21
2018-01,23,82,17
2018-02,20,84,17
2018-03,21,80,18
2018-04,20,79,19
2018-05,20,80,22
2018-06,19,78,20
2018-07,20,77,23
2018-08,20,89,23
2018-09,21,82,21
2018-10,21,84,20
2018-11,22,81,20
2018-12,23,83,23
2019-01,22,85,17
2019-02,21,33,5
2019-03,22,32,6
2019-04,20,87,21
2019-05,20,91,25
2019-06,21,89,22
2019-07,26,85,22
2019-08,20,93,25
2019-09,21,91,21
2019-10,22,93,20
2019-11,23,93,21
2019-12,23,94,22
2020-01,22,100,21
2020-02,22,95,20
2020-03,17,87,18
2020-04,19,72,14
2020-05,30,76,17
2020-06,19,78,22
2020-07,20,82,21
2020-08,20,89,24
2020-09,20,85,22
2020-10,21,87,21
2020-11,21,88,20
2020-12,21,84,22
2021-01,21,88,18
2021-02,19,88,18
2021-03,20,85,19
